X,Y,Nedbor,Month
1.0,0.5,52.0,1.0
1.0,0.5,63.0,2.0
1.0,0.5,64.0,3.0
1.0,0.5,50.0,4.0
1.0,0.5,48.0,5.0
1.0,0.5,48.0,6.0
1.0,0.5,83.0,7.0
1.0,0.5,55.0,8.0
1.0,0.5,84.0,9.0
1.0,0.5,67.0,10.0
1.0,0.5,76.0,11.0
1.0,0.5,121.0,12.0
1.0,8.0,86.0,1.0
1.0,8.0,99.0,2.0
1.0,8.0,117.0,3.0
1.0,8.0,87.0,4.0
1.0,8.0,77.0,5.0
1.0,8.0,67.0,6.0
1.0,8.0,105.0,7.0
1.0,8.0,107.0,8.0
1.0,8.0,126.0,9.0
1.0,8.0,102.0,10.0
1.0,8.0,135.0,11.0
1.0,8.0,226.0,12.0
2.0,2.0,107.0,1.0
2.0,2.0,95.0,2.0
2.0,2.0,100.0,3.0
2.0,2.0,69.0,4.0
2.0,2.0,60.0,5.0
2.0,2.0,100.0,6.0
2.0,2.0,102.0,7.0
2.0,2.0,138.0,8.0
2.0,2.0,102.0,9.0
2.0,2.0,106.0,10.0
2.0,2.0,143.0,11.0
2.0,2.0,184.0,12.0
2.0,9.0,131.0,1.0
2.0,9.0,141.0,2.0
2.0,9.0,170.0,3.0
2.0,9.0,80.0,4.0
2.0,9.0,89.0,5.0
2.0,9.0,106.0,6.0
2.0,9.0,155.0,7.0
2.0,9.0,171.0,8.0
2.0,9.0,160.0,9.0
2.0,9.0,128.0,10.0
2.0,9.0,204.0,11.0
2.0,9.0,273.0,12.0
3.0,1.0,101.0,1.0
3.0,1.0,90.0,2.0
3.0,1.0,99.0,3.0
3.0,1.0,70.0,4.0
3.0,1.0,55.0,5.0
3.0,1.0,56.0,6.0
3.0,1.0,80.0,7.0
3.0,1.0,96.0,8.0
3.0,1.0,128.0,9.0
3.0,1.0,104.0,10.0
3.0,1.0,111.0,11.0
3.0,1.0,212.0,12.0
5.0,2.0,92.0,1.0
5.0,2.0,139.0,2.0
5.0,2.0,109.0,3.0
5.0,2.0,114.0,4.0
5.0,2.0,71.0,5.0
5.0,2.0,73.0,6.0
5.0,2.0,136.0,7.0
5.0,2.0,132.0,8.0
5.0,2.0,139.0,9.0
5.0,2.0,115.0,10.0
5.0,2.0,136.0,11.0
5.0,2.0,267.0,12.0
6.0,1.0,126.0,1.0
6.0,1.0,110.0,2.0
6.0,1.0,116.0,3.0
6.0,1.0,101.0,4.0
6.0,1.0,85.0,5.0
6.0,1.0,116.0,6.0
6.0,1.0,152.0,7.0
6.0,1.0,123.0,8.0
6.0,1.0,134.0,9.0
6.0,1.0,140.0,10.0
6.0,1.0,163.0,11.0
6.0,1.0,258.0,12.0
6.0,7.0,100.0,1.0
6.0,7.0,103.0,2.0
6.0,7.0,124.0,3.0
6.0,7.0,83.0,4.0
6.0,7.0,100.0,5.0
6.0,7.0,75.0,6.0
6.0,7.0,159.0,7.0
6.0,7.0,160.0,8.0
6.0,7.0,131.0,9.0
6.0,7.0,160.0,10.0
6.0,7.0,193.0,11.0
6.0,7.0,197.0,12.0
7.0,5.0,151.0,1.0
7.0,5.0,225.0,2.0
7.0,5.0,178.0,3.0
7.0,5.0,118.0,4.0
7.0,5.0,110.0,5.0
7.0,5.0,170.0,6.0
7.0,5.0,154.0,7.0
7.0,5.0,244.0,8.0
7.0,5.0,244.0,9.0
7.0,5.0,249.0,10.0
7.0,5.0,273.0,11.0
7.0,5.0,367.0,12.0
8.0,6.0,221.0,1.0
8.0,6.0,169.0,2.0
8.0,6.0,233.0,3.0
8.0,6.0,125.0,4.0
8.0,6.0,120.0,5.0
8.0,6.0,194.0,6.0
8.0,6.0,181.0,7.0
8.0,6.0,268.0,8.0
8.0,6.0,262.0,9.0
8.0,6.0,227.0,10.0
8.0,6.0,282.0,11.0
8.0,6.0,467.0,12.0
9.0,5.0,221.0,1.0
9.0,5.0,211.0,2.0
9.0,5.0,346.0,3.0
9.0,5.0,177.0,4.0
9.0,5.0,188.0,5.0
